session,run,seq,policy,robot,t_gen_ns,t_selected_ns,t_tx_ns,t_rx_ns,deferral_ns,channel,rssi_dbm,snr_db,payload_hex
HWS-002-FIFO,1,0,FIFO,limo01,1784021400001207453,1784021400005647363,1784021400005650056,1784021400005671883,4439910,5,-71.15,17.47,0x1ac079db
HWS-002-FIFO,1,1,FIFO,limo02,1784021407200982061,1784021407203212381,1784021407203215222,1784021407203240003,2230320,7,-83.44,8.53,0xc27b2d95
HWS-002-FIFO,1,2,FIFO,limo02,1784021414404376519,1784021414406303243,1784021414406304860,1784021414406310801,1926724,6,-81.17,10.77,0x7f0dedc3
HWS-002-FIFO,1,3,FIFO,limo01,1784021421600994261,1784021421601699201,1784021421601700556,1784021421601724663,704940,3,-94.91,17.00,0xe9837cad
HWS-002-FIFO,1,4,FIFO,limo01,1784021428804151699,1784021428805697847,1784021428805699770,1784021428805713450,1546148,2,-92.52,8.73,0x4ab00d77
HWS-002-FIFO,1,5,FIFO,limo02,1784021436004450831,1784021436007832900,1784021436007835071,1784021436007844028,3382069,9,-70.44,16.49,0x88d07c5f
HWS-002-FIFO,1,6,FIFO,limo01,1784021443203052033,1784021443203425156,1784021443203426767,1784021443203440358,373123,2,-91.50,8.62,0x769c25a1
HWS-002-FIFO,1,7,FIFO,limo02,1784021450404157360,1784021450407701504,1784021450407703926,1784021450407712584,3544144,9,-72.02,3.42,0xb5bb9e89
HWS-002-FIFO,1,8,FIFO,limo01,1784021457601029220,1784021457602878999,1784021457602880746,1784021457602899121,1849779,4,-88.72,9.51,0x1712ec21
HWS-002-FIFO,2,0,FIFO,limo01,1784021472004856142,1784021472005199664,1784021472005201513,1784021472005212006,343522,5,-94.42,2.56,0x8d78dfc5
HWS-002-FIFO,2,1,FIFO,limo02,1784021479201382886,1784021479204756380,1784021479204758428,1784021479204773149,3373494,2,-87.64,5.52,0xae047ebe
HWS-002-FIFO,2,2,FIFO,limo01,1784021486403739679,1784021486406193282,1784021486406194841,1784021486406215458,2453603,3,-87.07,14.73,0x0e44ba72
HWS-002-FIFO,2,3,FIFO,limo02,1784021493602686603,1784021493604166181,1784021493604167572,1784021493604174525,1479578,1,-94.64,16.15,0x03068e30
HWS-002-FIFO,2,4,FIFO,limo01,1784021500802206634,1784021500803534859,1784021500803536227,1784021500803552624,1328225,7,-83.23,5.12,0xc886dc3a
HWS-002-FIFO,2,5,FIFO,limo01,1784021508003806575,1784021508005692296,1784021508005694790,1784021508005717611,1885721,10,-93.64,6.06,0xf998536b
HWS-002-FIFO,2,6,FIFO,limo02,1784021515200724413,1784021515201698991,1784021515201701493,1784021515201719369,974578,6,-91.91,5.61,0x34c9ba75
HWS-002-FIFO,2,7,FIFO,limo02,1784021522402173447,1784021522406857989,1784021522406860682,1784021522406874390,4684542,2,-74.65,12.97,0x052a284b
HWS-002-FIFO,2,8,FIFO,limo02,1784021529601687703,1784021529604818504,1784021529604819617,1784021529604843121,3130801,4,-71.40,9.52,0x7413ee31
HWS-002-FIFO,2,9,FIFO,limo02,1784021536804256135,1784021536805911157,1784021536805912372,1784021536805922145,1655022,7,-94.87,12.23,0x2c471612
