session,run,seq,policy,robot,t_gen_ns,t_selected_ns,t_tx_ns,t_rx_ns,deferral_ns,channel,rssi_dbm,snr_db,payload_hex
HWS-003-BACS,1,0,BACS,limo01,1784107800001456889,1784107800002165742,1784107800002168540,1784107800002174352,708853,9,-79.49,7.93,0x02c71a44
HWS-003-BACS,1,1,BACS,limo01,1784107807201943304,1784107807204393356,1784107807204395751,1784107807204405698,2450052,2,-80.18,11.81,0x01e853de
HWS-003-BACS,1,2,BACS,limo02,1784107814401226796,1784107814404592080,1784107814404593429,1784107814404608711,3365284,0,-75.37,15.25,0xf8b9cb10
HWS-003-BACS,1,3,BACS,limo01,1784107821600527164,1784107821603021643,1784107821603023588,1784107821603047817,2494479,1,-77.38,9.12,0xb70a789c
HWS-003-BACS,1,4,BACS,limo02,1784107828803455793,1784107828806991140,1784107828806993711,1784107828807014963,3535347,4,-77.22,17.19,0xa26d8844
HWS-003-BACS,1,5,BACS,limo01,1784107836002093915,1784107836006113004,1784107836006114972,1784107836006127720,4019089,1,-71.31,16.90,0x97f9ff0e
HWS-003-BACS,1,6,BACS,limo02,1784107843202265382,1784107843206742739,1784107843206745338,1784107843206760346,4477357,3,-94.53,11.92,0xd62ab4b6
HWS-003-BACS,1,7,BACS,limo01,1784107850401970858,1784107850403822422,1784107850403824235,1784107850403838835,1851564,10,-89.85,13.19,0x1b8a8e04
HWS-003-BACS,1,8,BACS,limo01,1784107857604906727,1784107857607879641,1784107857607881035,1784107857607894997,2972914,1,-87.11,15.33,0x55ff6510
HWS-003-BACS,2,0,BACS,limo01,1784107872000174055,1784107872004860300,1784107872004862379,1784107872004868428,4686245,1,-71.41,7.75,0xcd3d0620
HWS-003-BACS,2,1,BACS,limo01,1784107879203956965,1784107879205741139,1784107879205743893,1784107879205754499,1784174,9,-77.84,3.16,0x6355d4ec
HWS-003-BACS,2,2,BACS,limo02,1784107886401607173,1784107886402200548,1784107886402202840,1784107886402217931,593375,8,-90.92,4.22,0x9a2f1170
HWS-003-BACS,2,3,BACS,limo01,1784107893602711956,1784107893604212375,1784107893604215245,1784107893604235644,1500419,1,-81.67,7.95,0xf7941db3
HWS-003-BACS,2,4,BACS,limo02,1784107900802569162,1784107900807004949,1784107900807006171,1784107900807021695,4435787,9,-88.32,7.42,0x12b536d1
HWS-003-BACS,2,5,BACS,limo02,1784107908000342631,1784107908003630010,1784107908003632355,1784107908003654025,3287379,5,-93.94,9.42,0x3586c636
HWS-003-BACS,2,6,BACS,limo01,1784107915202581056,1784107915204936203,1784107915204937873,1784107915204956030,2355147,9,-93.67,6.15,0x5ff57168
HWS-003-BACS,2,7,BACS,limo02,1784107922401265360,1784107922402559188,1784107922402560968,1784107922402573683,1293828,2,-88.76,2.66,0x44a78664
HWS-003-BACS,2,8,BACS,limo02,1784107929602566617,1784107929603632483,1784107929603634726,1784107929603657667,1065866,3,-72.44,3.54,0x26a9221a
HWS-003-BACS,2,9,BACS,limo01,1784107936803083415,1784107936803720498,1784107936803723403,1784107936803732548,637083,1,-70.01,5.03,0xc6a88fbe
HWS-003-BACS,3,0,BACS,limo02,1784107944001798624,1784107944004472676,1784107944004474051,1784107944004482700,2674052,3,-83.37,13.68,0x4162e53b
HWS-003-BACS,3,1,BACS,limo01,1784107951200230269,1784107951203263163,1784107951203264229,1784107951203277673,3032894,4,-77.62,7.66,0xb02cd5e1
HWS-003-BACS,3,2,BACS,limo02,1784107958401227067,1784107958402523739,1784107958402525608,1784107958402535304,1296672,7,-79.48,14.08,0xc2c2a04a
HWS-003-BACS,3,3,BACS,limo02,1784107965600829908,1784107965604801925,1784107965604803933,1784107965604813174,3972017,8,-75.61,11.58,0x94109619
HWS-003-BACS,3,4,BACS,limo01,1784107972802892050,1784107972807557437,1784107972807559603,1784107972807577852,4665387,4,-85.55,12.88,0x9ae2da2d
HWS-003-BACS,3,5,BACS,limo01,1784107980002510847,1784107980004669642,1784107980004670958,1784107980004682388,2158795,3,-94.19,17.31,0x4692a934
HWS-003-BACS,3,6,BACS,limo02,1784107987202463257,1784107987202622455,1784107987202625387,1784107987202644189,159198,2,-94.72,2.99,0x68329cc7
HWS-003-BACS,4,0,BACS,limo02,1784108016000910866,1784108016002391470,1784108016002394326,1784108016002410663,1480604,9,-74.26,17.51,0x1ad28831
HWS-003-BACS,4,1,BACS,limo01,1784108023202285711,1784108023203594752,1784108023203596838,1784108023203614990,1309041,8,-88.49,2.78,0xef92749d
HWS-003-BACS,4,2,BACS,limo01,1784108030402691656,1784108030402854382,1784108030402856968,1784108030402870057,162726,4,-87.00,3.42,0x613d7621
HWS-003-BACS,4,3,BACS,limo02,1784108037604117698,1784108037606638603,1784108037606639940,1784108037606658597,2520905,6,-76.70,5.79,0x6dc19128
HWS-003-BACS,4,4,BACS,limo02,1784108044802174371,1784108044805446835,1784108044805449439,1784108044805467117,3272464,0,-71.30,15.97,0xfa35291d
HWS-003-BACS,4,5,BACS,limo02,1784108052002816660,1784108052003245669,1784108052003247520,1784108052003265743,429009,9,-86.13,11.12,0x52cee314
HWS-003-BACS,4,6,BACS,limo01,1784108059200642270,1784108059203433701,1784108059203436662,1784108059203461449,2791431,4,-81.74,14.09,0xdda92c39
HWS-003-BACS,4,7,BACS,limo01,1784108066404023078,1784108066408679425,1784108066408681873,1784108066408696413,4656347,6,-80.31,6.49,0xdcb034fc
HWS-003-BACS,5,0,BACS,limo02,1784108088003518210,1784108088006844670,1784108088006845733,1784108088006869212,3326460,1,-73.64,13.21,0xad5682f1
HWS-003-BACS,5,1,BACS,limo01,1784108095202178840,1784108095204400467,1784108095204402536,1784108095204416614,2221627,2,-86.84,14.34,0x528d4a84
HWS-003-BACS,5,2,BACS,limo02,1784108102402369206,1784108102402633860,1784108102402635100,1784108102402649665,264654,3,-81.86,7.47,0x46b203ff
HWS-003-BACS,5,3,BACS,limo01,1784108109601663616,1784108109602985589,1784108109602986798,1784108109603002260,1321973,6,-94.75,5.90,0x050c4df1
HWS-003-BACS,5,4,BACS,limo02,1784108116800488871,1784108116802907332,1784108116802908425,1784108116802925649,2418461,8,-93.06,17.38,0xc1300624
HWS-003-BACS,5,5,BACS,limo02,1784108124003632279,1784108124007628923,1784108124007631346,1784108124007643870,3996644,4,-80.63,17.23,0x18c750e3
HWS-003-BACS,5,6,BACS,limo02,1784108131203137486,1784108131205102004,1784108131205104635,1784108131205116982,1964518,8,-72.51,16.27,0xa2b42e1e
HWS-003-BACS,5,7,BACS,limo01,1784108138403475231,1784108138404187816,1784108138404189961,1784108138404204774,712585,2,-83.33,15.31,0x7513b287
HWS-003-BACS,5,8,BACS,limo02,1784108145600559478,1784108145604146030,1784108145604147716,1784108145604169301,3586552,7,-92.79,7.76,0x91eb9f45
HWS-003-BACS,5,9,BACS,limo02,1784108152803608223,1784108152804133447,1784108152804135079,1784108152804151678,525224,0,-76.89,8.76,0xc6ac98a0
HWS-003-BACS,6,0,BACS,limo01,1784108160001409045,1784108160002089252,1784108160002090905,1784108160002108964,680207,5,-81.52,8.68,0xf9d79bc9
HWS-003-BACS,6,1,BACS,limo01,1784108167202579979,1784108167207045313,1784108167207048192,1784108167207067101,4465334,0,-74.50,6.56,0xb4bc1670
HWS-003-BACS,6,2,BACS,limo02,1784108174400730017,1784108174403684419,1784108174403685740,1784108174403692029,2954402,6,-83.73,17.63,0xaa448c19
HWS-003-BACS,6,3,BACS,limo02,1784108181604811093,1784108181606795639,1784108181606797314,1784108181606813996,1984546,9,-81.07,8.36,0xcacdbff6
HWS-003-BACS,6,4,BACS,limo01,1784108188803485656,1784108188807899843,1784108188807902606,1784108188807908754,4414187,0,-86.14,11.14,0x78118c4a
HWS-003-BACS,6,5,BACS,limo02,1784108196000054430,1784108196003709497,1784108196003712362,1784108196003729659,3655067,5,-85.79,17.69,0x4b6c18ab
HWS-003-BACS,6,6,BACS,limo01,1784108203203922937,1784108203208792125,1784108203208793269,1784108203208815290,4869188,3,-87.17,17.38,0x29883a00
HWS-003-BACS,6,7,BACS,limo02,1784108210404040646,1784108210406380609,1784108210406382029,1784108210406390586,2339963,9,-83.92,13.83,0xf1287960
HWS-003-BACS,7,0,BACS,limo01,1784108232000389621,1784108232001649043,1784108232001650300,1784108232001659580,1259422,7,-74.78,13.07,0x327637b1
HWS-003-BACS,7,1,BACS,limo02,1784108239204751697,1784108239208170945,1784108239208173069,1784108239208191623,3419248,0,-94.51,15.03,0x8664fdb9
HWS-003-BACS,7,2,BACS,limo01,1784108246402585475,1784108246404992675,1784108246404994725,1784108246405010841,2407200,0,-86.60,14.66,0x5c2dd34b
HWS-003-BACS,7,3,BACS,limo02,1784108253600027720,1784108253604523940,1784108253604526735,1784108253604538991,4496220,6,-84.39,9.81,0xa799f49c
HWS-003-BACS,7,4,BACS,limo02,1784108260800665167,1784108260802909261,1784108260802912007,1784108260802921213,2244094,1,-77.69,6.01,0x8156372b
HWS-003-BACS,7,5,BACS,limo01,1784108268002792361,1784108268003556323,1784108268003557990,1784108268003582397,763962,1,-91.29,8.46,0x60165ba4
HWS-003-BACS,8,0,BACS,limo01,1784108304003201309,1784108304004924615,1784108304004925698,1784108304004940937,1723306,9,-85.47,2.34,0x56319d87
HWS-003-BACS,8,1,BACS,limo02,1784108311203774506,1784108311206613518,1784108311206614624,1784108311206635574,2839012,0,-70.19,6.72,0x1ba9f00d
HWS-003-BACS,8,2,BACS,limo01,1784108318403354664,1784108318407526185,1784108318407528373,1784108318407536403,4171521,9,-76.90,7.06,0x368c25d2
HWS-003-BACS,8,3,BACS,limo02,1784108325604542363,1784108325609084483,1784108325609086081,1784108325609095451,4542120,1,-91.33,13.25,0xd0f9b6a5
HWS-003-BACS,8,4,BACS,limo01,1784108332802030430,1784108332803015553,1784108332803017765,1784108332803037156,985123,8,-73.44,17.70,0xeb9452e1
HWS-003-BACS,8,5,BACS,limo02,1784108340003712639,1784108340004561175,1784108340004563460,1784108340004569983,848536,9,-91.22,9.04,0x97acd6d9
HWS-003-BACS,8,6,BACS,limo01,1784108347201728470,1784108347206697090,1784108347206698671,1784108347206715437,4968620,0,-79.83,14.66,0x59001c8c
HWS-003-BACS,8,7,BACS,limo01,1784108354401287754,1784108354401516037,1784108354401517327,1784108354401526975,228283,1,-90.79,3.22,0xc3637c54
HWS-003-BACS,8,8,BACS,limo02,1784108361601292004,1784108361602104997,1784108361602107864,1784108361602125202,812993,8,-73.02,16.38,0x98851a0f
HWS-003-BACS,9,0,BACS,limo02,1784108376002605458,1784108376006294046,1784108376006296734,1784108376006314590,3688588,10,-82.67,16.22,0x00c8ae60
HWS-003-BACS,9,1,BACS,limo01,1784108383202809953,1784108383205442031,1784108383205444262,1784108383205451017,2632078,0,-72.99,16.59,0xf24b6aa2
HWS-003-BACS,9,2,BACS,limo02,1784108390404312966,1784108390404500417,1784108390404502602,1784108390404508984,187451,9,-73.50,7.39,0x92b68e78
HWS-003-BACS,9,3,BACS,limo02,1784108397602227483,1784108397603482653,1784108397603485516,1784108397603500500,1255170,2,-83.57,14.94,0x7d8de24c
HWS-003-BACS,9,4,BACS,limo01,1784108404804139929,1784108404804986816,1784108404804989064,1784108404805002181,846887,5,-84.83,16.79,0x844fff29
