session,run,seq,policy,robot,t_gen_ns,t_selected_ns,t_tx_ns,t_rx_ns,deferral_ns,channel,rssi_dbm,snr_db,payload_hex
HWS-005-BACS+,1,0,BACS+,limo02,1784194200004685199,1784194200006547480,1784194200006549094,1784194200006570960,1862281,5,-91.25,8.04,0x7e61d2f6
HWS-005-BACS+,1,1,BACS+,limo01,1784194207202548836,1784194207205010485,1784194207205012600,1784194207205025598,2461649,1,-78.80,3.04,0xc214b494
HWS-005-BACS+,1,2,BACS+,limo02,1784194214400652793,1784194214400996689,1784194214400998793,1784194214401019058,343896,7,-90.87,9.41,0x9501c4dc
HWS-005-BACS+,1,3,BACS+,limo02,1784194221602637916,1784194221605096693,1784194221605097942,1784194221605114452,2458777,5,-73.17,4.12,0xdd8c5cb9
HWS-005-BACS+,1,4,BACS+,limo01,1784194228802015876,1784194228805375999,1784194228805378467,1784194228805384794,3360123,4,-87.64,2.34,0x97a869b7
HWS-005-BACS+,1,5,BACS+,limo01,1784194236000542693,1784194236004833314,1784194236004835050,1784194236004855444,4290621,5,-73.79,14.55,0x5f8db032
HWS-005-BACS+,1,6,BACS+,limo02,1784194243202124327,1784194243203520141,1784194243203521904,1784194243203537500,1395814,1,-80.52,8.69,0xf8281002
HWS-005-BACS+,2,0,BACS+,limo01,1784194272002583616,1784194272005108860,1784194272005110151,1784194272005117891,2525244,6,-76.04,6.13,0xd17c62cd
HWS-005-BACS+,2,1,BACS+,limo02,1784194279200953110,1784194279204030210,1784194279204032883,1784194279204049629,3077100,6,-73.99,10.28,0x70bc17f3
HWS-005-BACS+,2,2,BACS+,limo01,1784194286403713264,1784194286405744201,1784194286405746438,1784194286405754307,2030937,7,-70.98,17.63,0x27592520
HWS-005-BACS+,2,3,BACS+,limo02,1784194293603340700,1784194293604102987,1784194293604104168,1784194293604118485,762287,10,-71.11,12.68,0xd8b14efc
HWS-005-BACS+,2,4,BACS+,limo01,1784194300801411765,1784194300801571937,1784194300801573091,1784194300801591333,160172,0,-74.10,10.16,0x5517fd3b
HWS-005-BACS+,2,5,BACS+,limo02,1784194308004565998,1784194308008950912,1784194308008952538,1784194308008958040,4384914,3,-94.54,3.37,0x0a2e1716
HWS-005-BACS+,2,6,BACS+,limo02,1784194315201905264,1784194315203682434,1784194315203684084,1784194315203689430,1777170,1,-75.68,16.31,0x8e3ace0a
HWS-005-BACS+,3,0,BACS+,limo02,1784194344003393861,1784194344008207301,1784194344008208408,1784194344008216666,4813440,5,-85.55,9.85,0xf9b35623
HWS-005-BACS+,3,1,BACS+,limo01,1784194351202786537,1784194351204872598,1784194351204874531,1784194351204886177,2086061,10,-76.34,7.86,0x9b9a1391
HWS-005-BACS+,3,2,BACS+,limo01,1784194358400597685,1784194358401413639,1784194358401415274,1784194358401427522,815954,2,-75.77,15.93,0xbd381db4
HWS-005-BACS+,3,3,BACS+,limo02,1784194365603215395,1784194365605022424,1784194365605024637,1784194365605049176,1807029,9,-90.89,2.01,0xbea3ee98
HWS-005-BACS+,3,4,BACS+,limo01,1784194372800766089,1784194372803347878,1784194372803350419,1784194372803358434,2581789,2,-88.16,10.80,0x6bd3a94a
HWS-005-BACS+,3,5,BACS+,limo02,1784194380004400213,1784194380005841489,1784194380005842986,1784194380005852860,1441276,2,-76.69,8.04,0xe4ab1b43
HWS-005-BACS+,4,0,BACS+,limo02,1784194416002206096,1784194416002837527,1784194416002838543,1784194416002859443,631431,7,-82.48,7.60,0xdd29ce3e
HWS-005-BACS+,4,1,BACS+,limo01,1784194423203565459,1784194423205791365,1784194423205792932,1784194423205814449,2225906,5,-81.50,16.88,0xf20deb7e
HWS-005-BACS+,4,2,BACS+,limo01,1784194430403850399,1784194430406853582,1784194430406856324,1784194430406880817,3003183,5,-87.46,4.36,0xfe69a5fb
HWS-005-BACS+,4,3,BACS+,limo02,1784194437602588112,1784194437607536461,1784194437607537533,1784194437607548234,4948349,10,-77.09,7.86,0xf89fbb93
HWS-005-BACS+,4,4,BACS+,limo01,1784194444802145059,1784194444805272596,1784194444805274937,1784194444805290936,3127537,2,-70.71,15.36,0x248260ee
HWS-005-BACS+,4,5,BACS+,limo02,1784194452002710616,1784194452002788268,1784194452002789794,1784194452002801335,77652,1,-83.79,2.47,0x4a5f6f09
HWS-005-BACS+,4,6,BACS+,limo02,1784194459203465390,1784194459206707462,1784194459206708897,1784194459206728591,3242072,4,-81.71,13.21,0x83d692df
HWS-005-BACS+,4,7,BACS+,limo02,1784194466403018335,1784194466406951791,1784194466406954729,1784194466406967876,3933456,8,-86.56,16.98,0x19b9521d
HWS-005-BACS+,5,0,BACS+,limo01,1784194488002400768,1784194488007054939,1784194488007057048,1784194488007069568,4654171,7,-76.49,8.70,0xac261652
HWS-005-BACS+,5,1,BACS+,limo01,1784194495200757444,1784194495200819307,1784194495200821976,1784194495200845043,61863,3,-92.42,13.56,0x6ec626cd
HWS-005-BACS+,5,2,BACS+,limo02,1784194502403977269,1784194502404813276,1784194502404815980,1784194502404837761,836007,0,-86.34,12.37,0xedb787cc
HWS-005-BACS+,5,3,BACS+,limo02,1784194509604419773,1784194509605560927,1784194509605563111,1784194509605571390,1141154,0,-74.14,3.93,0x26a0b2ed
HWS-005-BACS+,5,4,BACS+,limo01,1784194516800351918,1784194516804560263,1784194516804562650,1784194516804576788,4208345,2,-86.53,7.99,0x0c9010ac
HWS-005-BACS+,5,5,BACS+,limo01,1784194524004914132,1784194524006784558,1784194524006787354,1784194524006809088,1870426,10,-86.11,9.55,0xa3d6479b
HWS-005-BACS+,5,6,BACS+,limo02,1784194531202030362,1784194531204083494,1784194531204086157,1784194531204103023,2053132,0,-71.14,2.82,0x7cf03e86
HWS-005-BACS+,5,7,BACS+,limo01,1784194538400773808,1784194538402019101,1784194538402021234,1784194538402039646,1245293,1,-77.86,15.24,0x28b5b141
HWS-005-BACS+,5,8,BACS+,limo01,1784194545601536676,1784194545605188525,1784194545605190493,1784194545605214561,3651849,2,-74.91,4.76,0x44240c05
HWS-005-BACS+,6,0,BACS+,limo01,1784194560002463439,1784194560002801823,1784194560002804067,1784194560002810985,338384,6,-72.06,11.55,0x2e364eba
HWS-005-BACS+,6,1,BACS+,limo01,1784194567203370943,1784194567206661739,1784194567206662947,1784194567206679378,3290796,9,-92.87,9.89,0xbc72b39a
HWS-005-BACS+,6,2,BACS+,limo01,1784194574404613019,1784194574408193706,1784194574408194783,1784194574408205006,3580687,2,-82.02,10.96,0x38493ccb
HWS-005-BACS+,6,3,BACS+,limo01,1784194581603498925,1784194581605728434,1784194581605730226,1784194581605744529,2229509,1,-72.07,10.31,0x02e9b7b4
HWS-005-BACS+,6,4,BACS+,limo01,1784194588804892227,1784194588806659978,1784194588806661119,1784194588806668389,1767751,4,-86.29,10.35,0x9f095425
HWS-005-BACS+,6,5,BACS+,limo01,1784194596002291020,1784194596002560334,1784194596002563190,1784194596002578888,269314,3,-86.80,5.08,0xd940de54
HWS-005-BACS+,6,6,BACS+,limo01,1784194603203324115,1784194603203463860,1784194603203465693,1784194603203473853,139745,1,-70.65,5.21,0x61ce9ad7
HWS-005-BACS+,6,7,BACS+,limo02,1784194610400601708,1784194610403112613,1784194610403114361,1784194610403127308,2510905,3,-92.78,5.15,0xd9a6e4c6
HWS-005-BACS+,6,8,BACS+,limo01,1784194617603315768,1784194617605687833,1784194617605689503,1784194617605710138,2372065,5,-83.73,8.91,0x1feca80e
HWS-005-BACS+,6,9,BACS+,limo02,1784194624800519960,1784194624804374531,1784194624804376199,1784194624804396769,3854571,7,-85.53,9.43,0xb66d08ca
HWS-005-BACS+,7,0,BACS+,limo02,1784194632001650114,1784194632005156313,1784194632005158796,1784194632005166498,3506199,2,-79.79,16.97,0xbc58287c
HWS-005-BACS+,7,1,BACS+,limo01,1784194639203097679,1784194639207905263,1784194639207908036,1784194639207916747,4807584,10,-88.55,6.60,0xe3eeb382
HWS-005-BACS+,7,2,BACS+,limo01,1784194646401909226,1784194646403511651,1784194646403513196,1784194646403529658,1602425,3,-79.80,11.84,0x59a07f8d
HWS-005-BACS+,7,3,BACS+,limo01,1784194653600186711,1784194653602792452,1784194653602794229,1784194653602803276,2605741,1,-71.22,5.75,0x67f12cf6
HWS-005-BACS+,7,4,BACS+,limo01,1784194660804762827,1784194660806326877,1784194660806328335,1784194660806342944,1564050,8,-78.20,7.73,0x715bd766
HWS-005-BACS+,7,5,BACS+,limo02,1784194668000511482,1784194668001939843,1784194668001942312,1784194668001947778,1428361,7,-81.77,13.48,0xa77b3f0a
HWS-005-BACS+,7,6,BACS+,limo01,1784194675201804739,1784194675206334378,1784194675206337059,1784194675206353044,4529639,4,-83.34,14.37,0xfb4ca3e3
HWS-005-BACS+,8,0,BACS+,limo01,1784194704004667411,1784194704004885573,1784194704004886747,1784194704004894647,218162,10,-73.14,2.08,0x7a14cd4c
HWS-005-BACS+,8,1,BACS+,limo02,1784194711203185706,1784194711204639592,1784194711204642582,1784194711204660363,1453886,6,-79.61,15.44,0x909c5af5
HWS-005-BACS+,8,2,BACS+,limo01,1784194718403857969,1784194718404514744,1784194718404517431,1784194718404538948,656775,2,-70.27,8.21,0x923846de
HWS-005-BACS+,8,3,BACS+,limo02,1784194725603416771,1784194725604183197,1784194725604185322,1784194725604201526,766426,10,-80.37,9.33,0x7ab8bab2
HWS-005-BACS+,8,4,BACS+,limo02,1784194732800444945,1784194732801847784,1784194732801849653,1784194732801859251,1402839,8,-86.23,12.87,0x5f6fe323
HWS-005-BACS+,8,5,BACS+,limo01,1784194740000042472,1784194740000686564,1784194740000689070,1784194740000706134,644092,8,-88.13,12.30,0xcaf00097
HWS-005-BACS+,8,6,BACS+,limo01,1784194747204761650,1784194747205251439,1784194747205253408,1784194747205263778,489789,4,-70.73,15.09,0x70d473f4
HWS-005-BACS+,9,0,BACS+,limo02,1784194776000774969,1784194776005047655,1784194776005049305,1784194776005058459,4272686,6,-77.15,8.44,0xc122a05f
HWS-005-BACS+,9,1,BACS+,limo01,1784194783202842801,1784194783207425053,1784194783207427384,1784194783207451208,4582252,8,-92.90,11.30,0x1513ff77
HWS-005-BACS+,9,2,BACS+,limo02,1784194790401360447,1784194790404281453,1784194790404284403,1784194790404306426,2921006,5,-71.60,15.57,0x2fc03f83
HWS-005-BACS+,9,3,BACS+,limo01,1784194797600181031,1784194797602130741,1784194797602132289,1784194797602142754,1949710,0,-92.79,3.08,0xe7edd97e
HWS-005-BACS+,9,4,BACS+,limo02,1784194804804555300,1784194804805531681,1784194804805533706,1784194804805556924,976381,0,-87.01,6.33,0xf38236c0
HWS-005-BACS+,9,5,BACS+,limo01,1784194812002532205,1784194812006779198,1784194812006781522,1784194812006794223,4246993,10,-86.26,5.97,0x5433fbae
HWS-005-BACS+,9,6,BACS+,limo01,1784194819201748762,1784194819203487116,1784194819203489691,1784194819203513571,1738354,3,-94.68,9.11,0x9007ad0a
HWS-005-BACS+,9,7,BACS+,limo01,1784194826400866129,1784194826402932751,1784194826402934350,1784194826402946538,2066622,5,-91.86,2.18,0xa2baa168
HWS-005-BACS+,9,8,BACS+,limo02,1784194833604007998,1784194833608092931,1784194833608095591,1784194833608119094,4084933,2,-73.47,11.28,0xf628e857
HWS-005-BACS+,9,9,BACS+,limo02,1784194840802445846,1784194840804037945,1784194840804040715,1784194840804062602,1592099,1,-84.48,4.98,0x86485459
HWS-005-BACS+,10,0,BACS+,limo01,1784194848001524971,1784194848003487652,1784194848003489402,1784194848003495485,1962681,4,-86.98,6.06,0xbebb90ee
