timestamp_ns,x,y,z,roll_rad,pitch_rad,yaw_rad,vx,vy,vz
1784021399999819954,-1.068020,0.531200,0.000206,-0.001917,0.002505,-0.441965,0.000000,0.000000,0.000000
1784021400010885397,-1.067129,0.530210,-0.000328,0.001353,0.005341,-0.441708,0.089057,-0.099058,-0.053462
1784021400020393424,-1.066448,0.530500,0.000858,0.003492,0.000926,-0.441452,0.068067,0.029052,0.118653
1784021400029212753,-1.065563,0.531435,0.000695,-0.000841,0.000664,-0.441195,0.088562,0.093484,-0.016285
1784021400039640977,-1.064293,0.532530,-0.000084,-0.001184,-0.002752,-0.440938,0.126942,0.109552,-0.077961
1784021400049163719,-1.063711,0.532094,0.000254,0.004637,0.000722,-0.440681,0.058254,-0.043597,0.033809
1784021400059990441,-1.062222,0.532295,-0.000970,-0.001296,-0.000329,-0.440424,0.148887,0.020076,-0.122366
1784021400070222808,-1.062358,0.533064,0.000243,0.002569,0.001221,-0.440167,-0.013633,0.076845,0.121228
1784021400079032440,-1.062229,0.532431,0.000005,0.000380,-0.000434,-0.439910,0.012960,-0.063264,-0.023755
1784021400089540017,-1.061610,0.533459,-0.000072,-0.000363,0.000220,-0.439652,0.061883,0.102767,-0.007723
1784021400100939947,-1.059602,0.533198,0.000232,0.000572,-0.000669,-0.439395,0.200801,-0.026031,0.030419
1784021400111076153,-1.059131,0.535008,0.000030,-0.000115,0.001651,-0.439137,0.047060,0.180949,-0.020187
1784021400119774020,-1.057771,0.534215,0.000625,-0.001312,-0.000205,-0.438879,0.136069,-0.079268,0.059501
1784021400130249650,-1.057830,0.534904,-0.000584,0.000073,-0.002190,-0.438621,-0.005954,0.068859,-0.120946
1784021400139100951,-1.057585,0.534747,0.000421,-0.000456,0.000863,-0.438363,0.024516,-0.015729,0.100519
1784021400150137501,-1.057689,0.535434,-0.000448,0.003075,0.002625,-0.438105,-0.010395,0.068697,-0.086932
1784021400160670214,-1.054630,0.536348,0.000558,0.003619,0.003059,-0.437846,0.305903,0.091494,0.100640
1784021400169108826,-1.055207,0.536097,0.000263,-0.002772,0.003171,-0.437588,-0.057694,-0.025166,-0.029459
1784021400180129770,-1.054110,0.537050,-0.000261,-0.000626,0.000012,-0.437329,0.109677,0.095311,-0.052454
1784021400190427480,-1.053624,0.536627,0.000026,0.000436,-0.000233,-0.437071,0.048625,-0.042283,0.028756
1784021400200049562,-1.053249,0.536924,0.000748,-0.003403,0.004966,-0.436812,0.037457,0.029664,0.072185
1784021400209291648,-1.052017,0.538182,0.000341,0.001895,0.000477,-0.436553,0.123223,0.125870,-0.040724
1784021400220867566,-1.051665,0.538056,0.000124,0.003056,0.001520,-0.436294,0.035163,-0.012597,-0.021713
1784021400230021392,-1.051023,0.538367,-0.000316,-0.000268,0.002051,-0.436035,0.064255,0.031024,-0.043951
1784021400239809858,-1.049586,0.538929,-0.000470,0.003342,-0.000557,-0.435775,0.143645,0.056263,-0.015471
