timestamp_ns,x,y,z,roll_rad,pitch_rad,yaw_rad,vx,vy,vz
1784194199999364226,-0.103598,-1.715721,0.000078,0.000639,0.003910,-0.107978,0.000000,0.000000,0.000000
1784194200010113711,-0.103061,-1.715970,0.000655,-0.002516,0.002543,-0.108327,0.053690,-0.024865,0.057749
1784194200020914087,-0.104412,-1.716234,0.000380,-0.001263,0.000353,-0.108677,-0.135064,-0.026494,-0.027550
1784194200030016425,-0.104503,-1.716584,-0.000505,0.000214,0.000890,-0.109026,-0.009101,-0.034964,-0.088491
1784194200039748591,-0.105699,-1.716856,0.000713,-0.005015,-0.000476,-0.109375,-0.119667,-0.027191,0.121784
1784194200049718876,-0.105969,-1.715551,-0.000323,-0.003354,0.000540,-0.109725,-0.027011,0.130534,-0.103590
1784194200059941905,-0.106608,-1.715860,-0.000179,-0.000004,0.000581,-0.110074,-0.063822,-0.030983,0.014364
1784194200069916557,-0.107851,-1.716505,0.000055,-0.000481,-0.002089,-0.110423,-0.124315,-0.064490,0.023398
1784194200080337990,-0.107899,-1.716544,-0.000407,0.000180,-0.000866,-0.110772,-0.004853,-0.003829,-0.046184
1784194200090544885,-0.108255,-1.716539,0.000039,0.002300,-0.001134,-0.111122,-0.035535,0.000425,0.044632
1784194200099392554,-0.108820,-1.717049,-0.000185,-0.002924,-0.000339,-0.111471,-0.056508,-0.050985,-0.022364
1784194200110587606,-0.109292,-1.718544,0.000438,0.002682,0.001198,-0.111820,-0.047236,-0.149456,0.062240
1784194200119290546,-0.109116,-1.717289,-0.000018,0.002293,-0.001031,-0.112169,0.017631,0.125489,-0.045550
1784194200129538086,-0.111402,-1.717271,0.000104,0.004716,0.001246,-0.112518,-0.228585,0.001761,0.012178
1784194200140161266,-0.111167,-1.717605,-0.000272,-0.004409,-0.001288,-0.112867,0.023500,-0.033332,-0.037655
1784194200150122403,-0.112221,-1.717704,0.000316,0.001892,-0.001264,-0.113216,-0.105406,-0.009962,0.058856
1784194200160951744,-0.112690,-1.718624,0.000352,0.000950,-0.001628,-0.113565,-0.046942,-0.091959,0.003609
1784194200169856909,-0.113428,-1.718080,-0.000060,-0.002395,0.001185,-0.113914,-0.073790,0.054426,-0.041244
1784194200180447402,-0.114693,-1.717698,0.000388,-0.002941,-0.000597,-0.114263,-0.126531,0.038170,0.044829
1784194200190307116,-0.114105,-1.718427,-0.000416,-0.004016,-0.000992,-0.114612,0.058800,-0.072860,-0.080358
1784194200200062322,-0.114204,-1.718650,-0.000310,0.006925,0.000190,-0.114960,-0.009876,-0.022311,0.010575
1784194200209531779,-0.114244,-1.717803,-0.000081,0.002313,-0.001331,-0.115309,-0.003971,0.084701,0.022906
1784194200220475654,-0.114684,-1.717860,0.000112,0.001177,-0.001311,-0.115658,-0.043978,-0.005742,0.019288
1784194200228946585,-0.117571,-1.718799,0.000584,-0.000751,0.001065,-0.116007,-0.288752,-0.093918,0.047168
1784194200240120570,-0.117527,-1.719158,-0.000052,0.001640,0.002288,-0.116355,0.004411,-0.035841,-0.063532
1784194200249599422,-0.117661,-1.720237,0.000820,-0.001563,-0.001843,-0.116704,-0.013393,-0.107928,0.087105
1784194200259330893,-0.118731,-1.719134,0.000154,-0.000800,0.004462,-0.117053,-0.106993,0.110290,-0.066601
